IL2DR	-11.350000	-376.250300	-6.839593
IL2L	6.750000	-371.888100	-0.002357
IL2R	-11.000000	-371.888100	-0.002357
IL2VL	3.300000	-373.899400	7.211992
IL2VR	-7.600000	-373.899400	7.211992
LUAL	1.350000	360.090200	3.118367
LUAR	-3.850000	360.090200	3.118367
M1	-0.867000	-339.951000	-7.274591
M2L	3.700000	-339.487000	-1.111488
M2R	-8.000000	-339.487000	-1.111488
M3L	3.750000	-381.767300	3.767066
M3R	-8.050000	-381.767300	3.767066
M4	-2.033000	-377.720600	-6.919371
M5	-2.200000	-329.445700	-9.629187
MCL	3.200000	-383.419400	-0.118152
MCR	-7.250000	-383.419400	-0.118152
MI	-2.154000	-381.826900	-4.995534
NSML	2.600000	-379.514500	-0.508091
NSMR	-6.350000	-379.514500	-0.508091
OLLL	4.400000	-371.025900	-0.959221
OLLR	-8.650000	-371.025900	-0.959221
OLQDL	2.775000	-368.345000	-5.347116
OLQDR	-7.025000	-368.345000	-5.347116
OLQVL	4.200000	-364.714900	3.457248
OLQVR	-8.474999	-364.714900	3.457248
PDA	-2.950000	341.791100	7.197326
PDB	-3.300000	338.754100	8.667197
PDEL	25.750000	95.063810	2.677778
PDER	-27.350000	95.063810	2.677778
PHAL	1.200000	359.267000	2.803413
PHAR	-3.800000	359.267000	2.803413
PHBL	1.200000	362.201200	2.487489
PHBR	-3.725000	362.201200	2.487489
PHCL	0.750000	365.737300	2.072205
PHCR	-3.425000	365.737300	2.072205
PLML	2.500000	367.287800	1.845091
PLMR	-3.675000	367.287800	1.845091
PLNL	4.225000	359.672300	-0.030509
PLNR	-6.225000	359.672300	-0.030509
PQR	-0.325000	364.558800	1.131379
PVCL	0.850000	360.896700	1.934901
PVCR	-3.450000	360.896700	1.934901
PVDL	24.749000	126.290100	-1.308249
PVDR	-26.114000	126.290100	-1.308249
PVM	24.850000	140.538500	0.137159
PVNL	0.550000	367.477200	1.129361
PVNR	-3.250000	367.432400	1.107045
PVPL	-0.100000	319.994700	11.022390
PVPR	-0.150000	309.968200	10.765750
PVQL	0.850000	359.160900	1.645303
PVQR	-3.300000	359.160900	1.645303
PVR	-1.850000	364.624700	1.105580
PVT	-0.100000	311.891900	12.049640
PVWL	0.800000	362.511100	1.183793
PVWR	-3.400000	362.511100	1.183793
RIAL	4.000000	-356.544000	-0.621058
RIAR	-8.200000	-356.544000	-0.621058
RIBL	5.500000	-348.382500	3.614484
RIBR	-9.800000	-348.382500	3.614484
RICL	-0.737000	-350.941200	4.597103
RICR	-3.563000	-350.941200	4.597103
RID	-1.225000	-361.805000	-9.206300
RIFL	0.000000	-317.170900	10.406510
RIFR	-5.150000	-324.880200	8.142299
RIGL	0.000000	-310.314100	9.015897
RIGR	-4.700000	-320.136400	9.366378
RIH	-2.000000	-350.376400	6.678004
RIML	3.500000	-345.589200	1.309511
RIMR	-7.750000	-345.589200	1.309511
RIPL	3.375000	-365.625500	-1.404486
RIPR	-7.625000	-365.625500	-1.404486
RIR	-11.600000	-349.274600	5.466279
RIS	-4.825000	-344.523900	6.718059
RIVL	4.500000	-353.970700	-7.415606
RIVR	-8.750000	-353.970700	-7.415606
RMDDL	3.600000	-352.666100	5.771820
RMDDR	-7.750000	-352.666100	5.771820
RMDL	3.100000	-355.870500	3.193252
RMDR	-7.400000	-355.870500	3.193252
RMDVL	4.850000	-357.213000	0.281613
RMDVR	-9.049999	-357.213000	0.281613
RMED	-1.500000	-365.913400	-11.477040
RMEL	4.650000	-361.108000	-1.029685
RMER	-8.900001	-361.108000	-1.029685
RMEV	-2.033000	-355.638000	9.061965
RMFL	1.100000	-347.438900	7.468774
RMFR	-5.400000	-347.438900	7.468774
RMGL	8.250000	-322.558300	-2.992620
RMGR	-12.500000	-322.558300	-2.992620
RMHL	1.100000	-348.900000	6.339309
RMHR	-5.300000	-348.900000	6.339309
SAADL	-4.688000	-355.416900	2.021853
SAADR	0.531000	-355.416900	2.021853
SAAVL	3.900000	-357.297700	-0.782578
SAAVR	-8.175000	-357.297700	-0.782578
SABD	-3.200000	-311.013200	11.010470
SABVL	3.325000	-328.491100	9.460897
SABVR	-8.100000	-328.491100	9.460897
SDQL	21.400000	173.812800	-6.716793
SDQR	-14.200000	-208.110100	-17.528410
SIADL	-3.958000	-353.762800	-0.614169
SIADR	-0.383000	-355.075300	0.252764
SIAVL	5.950000	-341.717100	6.996918
SIAVR	-10.200000	-341.717100	6.996918
SIBDL	-5.267000	-355.804700	-1.770831
SIBDR	0.967000	-355.804700	-1.770831
